day,status,provider,positions
2023-12-10,empty,archive,0
2023-12-11,empty,archive,0
2023-12-12,empty,archive,0
2023-12-13,empty,archive,0
2023-12-14,completed,archive,182
2023-12-15,completed,archive,123
2023-12-16,completed,archive,132
2023-12-17,empty,archive,0
2023-12-18,empty,archive,0
2023-12-19,empty,archive,0
2023-12-20,empty,archive,0
2023-12-21,empty,archive,0
2023-12-22,empty,archive,0
2023-12-23,empty,archive,0
2023-12-24,empty,archive,0
2023-12-25,empty,archive,0
2023-12-26,empty,archive,0
2023-12-27,empty,archive,0
2023-12-28,empty,archive,0
2023-12-29,empty,archive,0
2023-12-30,empty,archive,0
2023-12-31,empty,archive,0
2024-01-01,empty,archive,0
2024-01-02,empty,archive,0
2024-01-03,empty,archive,0
2024-01-04,empty,archive,0
2024-01-05,empty,archive,0
2024-01-06,empty,archive,0
2024-01-07,completed,archive,274
2024-01-08,empty,archive,0
2024-01-09,empty,archive,0
2024-01-10,empty,archive,0
2024-01-11,empty,archive,0
2024-01-12,empty,archive,0
2024-01-13,empty,archive,0
2024-01-14,empty,archive,0
2024-01-15,empty,archive,0
2024-01-16,empty,archive,0
2024-01-17,empty,archive,0
2024-01-18,empty,archive,0
2024-01-19,empty,archive,0
2024-01-20,empty,archive,0
2024-01-21,empty,archive,0
2024-01-22,empty,archive,0
2024-01-23,completed,archive,412
2024-01-24,completed,archive,1180
2024-01-25,completed,archive,299
2024-01-26,completed,archive,284
2024-01-27,empty,archive,0
2024-01-28,empty,archive,0
2024-01-29,completed,archive,871
2024-01-30,empty,archive,0
2024-01-31,completed,archive,298
2024-02-01,completed,archive,1084
2024-02-02,empty,archive,0
2024-02-03,completed,archive,1121
2024-02-04,completed,archive,358
2024-02-05,completed,archive,651
2024-02-06,empty,archive,0
2024-02-07,completed,archive,529
2024-02-08,completed,archive,531
2024-02-09,empty,archive,0
2024-02-10,completed,archive,328
2024-02-11,empty,archive,0
2024-02-12,empty,archive,0
2024-02-13,completed,archive,401
2024-02-14,empty,archive,0
2024-02-15,completed,archive,382
2024-02-16,completed,archive,355
2024-02-17,empty,archive,0
2024-02-18,empty,archive,0
2024-02-19,empty,archive,0
2024-02-20,completed,archive,556
2024-02-21,empty,archive,0
2024-02-22,empty,archive,0
2024-02-23,completed,archive,53
2024-02-24,completed,archive,411
2024-02-25,empty,archive,0
2024-02-26,completed,archive,360
2024-02-27,empty,archive,0
2024-02-28,empty,archive,0
2024-02-29,completed,archive,369
2024-03-01,empty,archive,0
2024-03-02,empty,archive,0
2024-03-03,empty,archive,0
2024-03-04,empty,archive,0
2024-03-05,completed,archive,1380
2024-03-06,empty,archive,0
2024-03-07,empty,archive,0
2024-03-08,empty,archive,0
2024-03-09,empty,archive,0
2024-03-10,empty,archive,0
2024-03-11,empty,archive,0
2024-03-12,empty,archive,0
2024-03-13,empty,archive,0
2024-03-14,completed,archive,729
2024-03-15,empty,archive,0
2024-03-16,empty,archive,0
2024-03-17,empty,archive,0
2024-03-18,empty,archive,0
2024-03-19,empty,archive,0
2024-03-20,empty,archive,0
2024-03-21,empty,archive,0
2024-03-22,empty,archive,0
2024-03-23,empty,archive,0
2024-03-24,empty,archive,0
2024-03-25,empty,archive,0
2024-03-26,completed,archive,669
2024-03-27,empty,archive,0
2024-03-28,empty,archive,0
2024-03-29,empty,archive,0
2024-03-30,empty,archive,0
2024-03-31,empty,archive,0
2024-04-01,empty,archive,0
2024-04-02,empty,archive,0
2024-04-03,empty,archive,0
2024-04-04,empty,archive,0
2024-04-05,empty,archive,0
2024-04-06,empty,archive,0
2024-04-07,empty,archive,0
2024-04-08,empty,archive,0
2024-04-09,empty,archive,0
2024-04-10,empty,archive,0
2024-04-11,completed,archive,603
2024-04-12,empty,archive,0
2024-04-13,empty,archive,0
2024-04-14,empty,archive,0
2024-04-15,empty,archive,0
2024-04-16,empty,archive,0
2024-04-17,empty,archive,0
2024-04-18,empty,archive,0
2024-04-19,empty,archive,0
2024-04-20,empty,archive,0
2024-04-21,empty,archive,0
2024-04-22,empty,archive,0
2024-04-23,completed,archive,630
2024-04-24,empty,archive,0
2024-04-25,empty,archive,0
2024-04-26,empty,archive,0
2024-04-27,empty,archive,0
2024-04-28,empty,archive,0
2024-04-29,empty,archive,0
2024-04-30,empty,archive,0
2024-05-01,empty,archive,0
2024-05-02,empty,archive,0
2024-05-03,empty,archive,0
2024-05-04,completed,archive,635
2024-05-05,empty,archive,0
2024-05-06,completed,archive,297
2024-05-07,completed,archive,336
2024-05-08,completed,archive,427
2024-05-09,completed,archive,416
2024-05-10,empty,archive,0
2024-05-11,completed,archive,459
2024-05-12,empty,archive,0
2024-05-13,empty,archive,0
2024-05-14,completed,archive,3
2024-05-15,completed,archive,65
2024-05-16,empty,archive,0
2024-05-17,empty,archive,0
2024-05-18,empty,archive,0
2024-05-19,empty,archive,0
2024-05-20,empty,archive,0
2024-05-21,empty,archive,0
2024-05-22,empty,archive,0
2024-05-23,empty,archive,0
2024-05-24,empty,archive,0
2024-05-25,empty,archive,0
2024-05-26,completed,archive,1577
2024-05-27,empty,archive,0
2024-05-28,empty,archive,0
2024-05-29,completed,archive,810
2024-05-30,completed,archive,867
2024-05-31,completed,archive,325
2024-06-01,completed,archive,1259
2024-06-02,empty,archive,0
2024-06-03,empty,archive,0
2024-06-04,empty,archive,0
2024-06-05,empty,archive,0
2024-06-06,empty,archive,0
2024-06-07,empty,archive,0
2024-06-08,empty,archive,0
2024-06-09,empty,archive,0
2024-06-10,empty,archive,0
2024-06-11,completed,archive,1012
2024-06-12,completed,archive,1039
2024-06-13,completed,archive,1530
2024-06-14,completed,archive,1299
2024-06-15,empty,archive,0
2024-06-16,empty,archive,0
2024-06-17,completed,archive,1371
2024-06-18,empty,archive,0
2024-06-19,empty,archive,0
2024-06-20,completed,archive,586
2024-06-21,completed,archive,529
2024-06-22,empty,archive,0
2024-06-23,empty,archive,0
2024-06-24,empty,archive,0
2024-06-25,empty,archive,0
2024-06-26,empty,archive,0
2024-06-27,empty,archive,0
2024-06-28,empty,archive,0
2024-06-29,empty,archive,0
2024-06-30,completed,archive,1099
2024-07-01,empty,archive,0
2024-07-02,empty,archive,0
2024-07-03,empty,archive,0
2024-07-04,completed,archive,717
2024-07-05,empty,archive,0
2024-07-06,empty,archive,0
2024-07-07,empty,archive,0
2024-07-08,empty,archive,0
2024-07-09,empty,archive,0
2024-07-10,empty,archive,0
2024-07-11,empty,archive,0
2024-07-12,empty,archive,0
2024-07-13,empty,archive,0
2024-07-14,empty,archive,0
2024-07-15,empty,archive,0
2024-07-16,empty,archive,0
2024-07-17,empty,archive,0
2024-07-18,empty,archive,0
2024-07-19,completed,archive,1134
2024-07-20,completed,archive,538
2024-07-21,empty,archive,0
2024-07-22,completed,archive,549
2024-07-23,empty,archive,0
2024-07-24,empty,archive,0
2024-07-25,empty,archive,0
2024-07-26,empty,archive,0
2024-07-27,completed,archive,384
2024-07-28,completed,archive,25
2024-07-29,completed,archive,418
2024-07-30,empty,archive,0
2024-07-31,empty,archive,0
2024-08-01,completed,archive,1331
2024-08-02,completed,archive,441
2024-08-03,completed,archive,702
2024-08-04,empty,archive,0
2024-08-05,completed,archive,403
2024-08-06,empty,archive,0
2024-08-07,empty,archive,0
2024-08-08,empty,archive,0
2024-08-09,empty,archive,0
2024-08-10,empty,archive,0
2024-08-11,empty,archive,0
2024-08-12,empty,archive,0
2024-08-13,empty,archive,0
2024-08-14,empty,archive,0
2024-08-15,empty,archive,0
2024-08-16,empty,archive,0
2024-08-17,empty,archive,0
2024-08-18,empty,archive,0
2024-08-19,empty,archive,0
2024-08-20,empty,archive,0
2024-08-21,empty,archive,0
2024-08-22,empty,archive,0
2024-08-23,empty,archive,0
2024-08-24,empty,archive,0
2024-08-25,empty,archive,0
2024-08-26,empty,archive,0
2024-08-27,empty,archive,0
2024-08-28,empty,archive,0
2024-08-29,empty,archive,0
2024-08-30,empty,archive,0
2024-08-31,empty,archive,0
2024-09-01,empty,archive,0
2024-09-02,empty,archive,0
2024-09-03,empty,archive,0
2024-09-04,empty,archive,0
2024-09-05,empty,archive,0
2024-09-06,empty,archive,0
2024-09-07,empty,archive,0
2024-09-08,empty,archive,0
2024-09-09,empty,archive,0
2024-09-10,empty,archive,0
2024-09-11,empty,archive,0
2024-09-12,empty,archive,0
2024-09-13,empty,archive,0
2024-09-14,empty,archive,0
2024-09-15,empty,archive,0
2024-09-16,empty,archive,0
2024-09-17,empty,archive,0
2024-09-18,empty,archive,0
2024-09-19,empty,archive,0
2024-09-20,completed,archive,365
2024-09-21,completed,archive,300
2024-09-22,completed,archive,420
2024-09-23,completed,archive,455
2024-09-24,empty,archive,0
2024-09-25,empty,archive,0
2024-09-26,empty,archive,0
2024-09-27,empty,archive,0
2024-09-28,empty,archive,0
2024-09-29,empty,archive,0
2024-09-30,empty,archive,0
2024-10-01,empty,archive,0
2024-10-02,completed,archive,353
2024-10-03,empty,archive,0
2024-10-04,completed,archive,421
2024-10-05,completed,archive,1749
2024-10-06,completed,archive,252
2024-10-07,completed,archive,325
2024-10-08,empty,archive,0
2024-10-09,empty,archive,0
2024-10-10,completed,archive,393
2024-10-11,completed,archive,363
2024-10-12,empty,archive,0
2024-10-13,completed,archive,265
2024-10-14,completed,archive,885
2024-10-15,empty,archive,0
2024-10-16,empty,archive,0
2024-10-17,completed,archive,619
2024-10-18,completed,archive,729
2024-10-19,empty,archive,0
2024-10-20,empty,archive,0
2024-10-21,empty,archive,0
2024-10-22,empty,archive,0
2024-10-23,empty,archive,0
2024-10-24,completed,archive,924
2024-10-25,empty,archive,0
2024-10-26,completed,archive,428
2024-10-27,empty,archive,0
2024-10-28,empty,archive,0
2024-10-29,completed,archive,469
2024-10-30,completed,archive,403
2024-10-31,completed,archive,124
2024-11-01,empty,archive,0
2024-11-02,completed,archive,144
2024-11-03,empty,archive,0
2024-11-04,empty,archive,0
2024-11-05,completed,archive,486
2024-11-06,completed,archive,447
2024-11-07,empty,archive,0
2024-11-08,empty,archive,0
2024-11-09,completed,archive,353
2024-11-10,empty,archive,0
2024-11-11,empty,archive,0
2024-11-12,empty,archive,0
2024-11-13,completed,archive,646
2024-11-14,completed,archive,645
2024-11-15,empty,archive,0
2024-11-16,empty,archive,0
2024-11-17,completed,archive,374
2024-11-18,empty,archive,0
2024-11-19,empty,archive,0
2024-11-20,completed,archive,454
2024-11-21,completed,archive,674
2024-11-22,empty,archive,0
2024-11-23,empty,archive,0
2024-11-24,empty,archive,0
2024-11-25,completed,archive,1346
2024-11-26,empty,archive,0
2024-11-27,empty,archive,0
2024-11-28,empty,archive,0
2024-11-29,empty,archive,0
2024-11-30,empty,archive,0
2024-12-01,empty,archive,0
2024-12-02,completed,archive,1330
2024-12-03,empty,archive,0
2024-12-04,completed,archive,1269
2024-12-05,completed,archive,596
2024-12-06,empty,archive,0
2024-12-07,empty,archive,0
2024-12-08,empty,archive,0
2024-12-09,empty,archive,0
2024-12-10,empty,archive,0
2024-12-11,empty,archive,0
2024-12-12,empty,archive,0
2024-12-13,empty,archive,0
2024-12-14,empty,archive,0
2024-12-15,empty,archive,0
2024-12-16,empty,archive,0
2024-12-17,empty,archive,0
2024-12-18,empty,archive,0
2024-12-19,completed,archive,1933
2024-12-20,completed,archive,384
2024-12-21,empty,archive,0
2024-12-22,empty,archive,0
2024-12-23,empty,archive,0
2024-12-24,empty,archive,0
2024-12-25,empty,archive,0
2024-12-26,empty,archive,0
2024-12-27,empty,archive,0
2024-12-28,empty,archive,0
2024-12-29,empty,archive,0
2024-12-30,empty,archive,0
2024-12-31,empty,archive,0
2025-01-01,empty,archive,0
2025-01-02,empty,archive,0
2025-01-03,empty,archive,0
2025-01-04,empty,archive,0
2025-01-05,empty,archive,0
2025-01-06,empty,archive,0
2025-01-07,empty,archive,0
2025-01-08,empty,archive,0
2025-01-09,empty,archive,0
2025-01-10,empty,archive,0
2025-01-11,empty,archive,0
2025-01-12,empty,archive,0
2025-01-13,empty,archive,0
2025-01-14,completed,archive,700
2025-01-15,empty,archive,0
2025-01-16,completed,archive,689
2025-01-17,empty,archive,0
2025-01-18,empty,archive,0
2025-01-19,empty,archive,0
2025-01-20,completed,archive,908
2025-01-21,empty,archive,0
2025-01-22,empty,archive,0
2025-01-23,empty,archive,0
2025-01-24,empty,archive,0
2025-01-25,empty,archive,0
2025-01-26,empty,archive,0
2025-01-27,empty,archive,0
2025-01-28,empty,archive,0
2025-01-29,empty,archive,0
2025-01-30,completed,archive,811
2025-01-31,completed,archive,726
2025-02-01,empty,archive,0
2025-02-02,empty,archive,0
2025-02-03,empty,archive,0
2025-02-04,completed,archive,887
2025-02-05,empty,archive,0
2025-02-06,empty,archive,0
2025-02-07,empty,archive,0
2025-02-08,empty,archive,0
2025-02-09,empty,archive,0
2025-02-10,empty,archive,0
2025-02-11,empty,archive,0
2025-02-12,completed,archive,719
2025-02-13,completed,archive,729
2025-02-14,empty,archive,0
2025-02-15,empty,archive,0
2025-02-16,empty,archive,0
2025-02-17,empty,archive,0
2025-02-18,completed,archive,1145
2025-02-19,empty,archive,0
2025-02-20,empty,archive,0
2025-02-21,empty,archive,0
2025-02-22,empty,archive,0
2025-02-23,empty,archive,0
2025-02-24,completed,archive,897
2025-02-25,empty,archive,0
2025-02-26,empty,archive,0
2025-02-27,empty,archive,0
2025-02-28,empty,archive,0
2025-03-01,empty,archive,0
2025-03-02,empty,archive,0
2025-03-03,empty,archive,0
2025-03-04,empty,archive,0
2025-03-05,empty,archive,0
2025-03-06,empty,archive,0
2025-03-07,completed,archive,998
2025-03-08,empty,archive,0
2025-03-09,empty,archive,0
2025-03-10,completed,archive,607
2025-03-11,empty,archive,0
2025-03-12,completed,archive,1447
2025-03-13,empty,archive,0
2025-03-14,empty,archive,0
2025-03-15,empty,archive,0
2025-03-16,completed,archive,787
2025-03-17,empty,archive,0
2025-03-18,empty,archive,0
2025-03-19,empty,archive,0
2025-03-20,completed,archive,382
2025-03-21,completed,archive,1042
2025-03-22,empty,archive,0
2025-03-23,empty,archive,0
2025-03-24,completed,archive,1088
2025-03-25,empty,archive,0
2025-03-26,empty,archive,0
2025-03-27,empty,archive,0
2025-03-28,completed,archive,1022
2025-03-29,empty,archive,0
2025-03-30,empty,archive,0
2025-03-31,empty,archive,0
2025-04-01,empty,archive,0
2025-04-02,completed,archive,1650
2025-04-03,completed,archive,598
2025-04-04,empty,archive,0
2025-04-05,completed,archive,646
2025-04-06,completed,archive,927
2025-04-07,completed,archive,941
2025-04-08,empty,archive,0
2025-04-09,completed,archive,1343
2025-04-10,completed,archive,878
2025-04-11,completed,archive,452
2025-04-12,completed,archive,489
2025-04-13,empty,archive,0
2025-04-14,empty,archive,0
2025-04-15,empty,archive,0
2025-04-16,empty,archive,0
2025-04-17,empty,archive,0
2025-04-18,empty,archive,0
2025-04-19,empty,archive,0
2025-04-20,empty,archive,0
2025-04-21,empty,archive,0
2025-04-22,empty,archive,0
2025-04-23,empty,archive,0
2025-04-24,completed,archive,487
2025-04-25,completed,archive,416
2025-04-26,completed,archive,1219
2025-04-27,empty,archive,0
2025-04-28,completed,archive,421
2025-04-29,completed,archive,554
2025-04-30,empty,archive,0
2025-05-01,empty,archive,0
2025-05-02,empty,archive,0
2025-05-03,empty,archive,0
2025-05-04,completed,archive,607
2025-05-05,completed,archive,1107
2025-05-06,empty,archive,0
2025-05-07,empty,archive,0
2025-05-08,empty,archive,0
2025-05-09,empty,archive,0
2025-05-10,empty,archive,0
2025-05-11,empty,archive,0
2025-05-12,completed,archive,1835
2025-05-13,empty,archive,0
2025-05-14,empty,archive,0
2025-05-15,empty,archive,0
2025-05-16,completed,archive,1410
2025-05-17,empty,archive,0
2025-05-18,completed,archive,646
2025-05-19,empty,archive,0
2025-05-20,completed,archive,908
2025-05-21,completed,archive,848
2025-05-22,completed,archive,1449
2025-05-23,completed,archive,1112
2025-05-24,empty,archive,0
2025-05-25,completed,archive,615
2025-05-26,empty,archive,0
2025-05-27,completed,archive,507
2025-05-28,empty,archive,0
2025-05-29,completed,archive,495
2025-05-30,completed,archive,647
2025-05-31,empty,archive,0
2025-06-01,empty,archive,0
2025-06-02,completed,archive,1031
2025-06-03,completed,archive,1800
2025-06-04,completed,archive,1449
2025-06-05,completed,archive,941
2025-06-06,empty,archive,0
2025-06-07,completed,archive,570
2025-06-08,completed,archive,549
2025-06-09,empty,archive,0
2025-06-10,empty,archive,0
2025-06-11,empty,archive,0
2025-06-12,completed,archive,361
2025-06-13,completed,archive,341
2025-06-14,completed,archive,1278
2025-06-15,empty,archive,0
2025-06-16,completed,archive,1654
2026-01-01,empty,archive,0
2026-01-02,empty,archive,0
2026-01-03,empty,archive,0
2026-01-04,empty,archive,0
2026-01-05,empty,archive,0
2026-01-06,empty,archive,0
2026-01-07,empty,archive,0
2026-01-08,empty,archive,0
2026-01-09,empty,archive,0
2026-01-10,empty,archive,0
2026-01-11,empty,archive,0
2026-01-12,completed,archive,655
2026-01-13,empty,archive,0
2026-01-14,empty,archive,0
2026-01-15,completed,archive,912
2026-01-16,empty,archive,0
2026-01-17,empty,archive,0
2026-01-18,empty,archive,0
2026-01-19,empty,archive,0
2026-01-20,completed,archive,1043
2026-01-21,completed,archive,1059
2026-01-22,empty,archive,0
2026-01-23,empty,archive,0
2026-01-24,empty,archive,0
2026-01-25,empty,archive,0
2026-01-26,empty,archive,0
2026-01-27,empty,archive,0
2026-01-28,empty,archive,0
2026-01-29,completed,archive,1787
2026-01-30,empty,archive,0
2026-01-31,completed,archive,1581
2026-02-01,completed,archive,603
2026-02-02,completed,archive,418
2026-02-03,empty,archive,0
2026-02-04,completed,archive,474
2026-02-05,completed,archive,1716
2026-02-06,completed,archive,553
2026-02-07,empty,archive,0
2026-02-08,empty,archive,0
2026-02-09,completed,archive,908
2026-02-10,completed,archive,960
2026-02-11,completed,archive,1071
2026-02-12,completed,archive,1616
2026-02-13,empty,archive,0
2026-02-14,completed,archive,1443
2026-02-15,empty,archive,0
2026-02-16,empty,archive,0
2026-02-17,empty,archive,0
2026-02-18,empty,archive,0
2026-02-19,empty,archive,0
2026-02-20,completed,archive,1780
2026-02-21,empty,archive,0
2026-02-22,empty,archive,0
2026-02-23,empty,archive,0
2026-02-24,empty,archive,0
2026-02-25,empty,archive,0
2026-02-26,empty,archive,0
2026-02-27,empty,archive,0
2026-02-28,empty,archive,0
2026-03-01,empty,archive,0
2026-03-02,completed,archive,1615
2026-03-03,completed,archive,1418
2026-03-04,completed,archive,1519
2026-03-05,empty,archive,0
2026-03-06,completed,archive,1719
2026-03-07,completed,archive,1504
2026-03-08,completed,archive,2029
2026-03-09,completed,archive,2066
2026-03-10,completed,archive,1473
2026-03-11,completed,archive,1809
2026-03-12,empty,archive,0
2026-03-13,empty,archive,0
2026-03-14,empty,archive,0
2026-03-15,empty,archive,0
2026-03-16,empty,archive,0
2026-03-17,empty,archive,0
